"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"TR01_01"	"TR01_01a"	"TR01_02"	"TR01_02a"	"TR01_03"	"TR01_03a"	"TR01_04"	"TR01_04a"	"TR02_01"	"TR02_01a"	"TR02_02"	"TR02_02a"	"TR02_03"	"TR02_03a"	"TR02_04"	"TR02_04a"	"TR02_05"	"TR02_05a"	"TR02_06"	"TR02_06a"	"TR02_07"	"TR02_07a"	"TR02_08"	"TR02_08a"	"TR02_09"	"TR02_09a"	"TR02_10"	"TR02_10a"	"TR02_11"	"TR02_11a"	"TR02_12"	"TR02_12a"	"TR02_13"	"TR02_13a"	"TR02_14"	"TR02_14a"	"TR02_15"	"TR02_15a"	"TR02_16"	"TR02_16a"	"TR02_17"	"TR02_17a"	"TR02_18"	"TR02_18a"	"TR02_19"	"TR02_19a"	"TR02_20"	"TR02_20a"	"TR02_21"	"TR02_21a"	"TR02_22"	"TR02_22a"	"TR02_23"	"TR02_23a"	"TR02_24"	"TR02_24a"	"TR02_25"	"TR02_25a"	"TR02_26"	"TR02_26a"	"TR02_27"	"TR02_27a"	"TR02_28"	"TR02_28a"	"TR02_29"	"TR02_29a"	"TR02_30"	"TR02_30a"	"TR02_31"	"TR02_31a"	"TR02_32"	"TR02_32a"	"TR02_33"	"TR02_33a"	"TR02_34"	"TR02_34a"	"TR02_35"	"TR02_35a"	"TR02_36"	"TR02_36a"	"TR02_37"	"TR02_37a"	"TR02_38"	"TR02_38a"	"TR02_39"	"TR02_39a"	"TR02_40"	"TR02_40a"	"TR02_41"	"TR02_41a"	"TR02_42"	"TR02_42a"	"TR02_43"	"TR02_43a"	"TR02_44"	"TR02_44a"	"TR02_45"	"TR02_45a"	"TR02_46"	"TR02_46a"	"TR02_47"	"TR02_47a"	"TR02_48"	"TR02_48a"	"TR02_49"	"TR02_49a"	"TR02_50"	"TR02_50a"	"TR02_51"	"TR02_51a"	"TR02_52"	"TR02_52a"	"TR02_53"	"TR02_53a"	"TR02_54"	"TR02_54a"	"TR02_55"	"TR02_55a"	"TR02_56"	"TR02_56a"	"TR02_57"	"TR02_57a"	"TR02_58"	"TR02_58a"	"TR02_59"	"TR02_59a"	"TR02_60"	"TR02_60a"	"TR02_61"	"TR02_61a"	"TR02_62"	"TR02_62a"	"TR02_63"	"TR02_63a"	"TR02_64"	"TR02_64a"	"TR02_65"	"TR02_65a"	"TR02_66"	"TR02_66a"	"TR02_67"	"TR02_67a"	"TR02_68"	"TR02_68a"	"TR02_69"	"TR02_69a"	"TR02_70"	"TR02_70a"	"TR02_71"	"TR02_71a"	"TR02_72"	"TR02_72a"	"TR02_73"	"TR02_73a"	"TR02_74"	"TR02_74a"	"TR02_75"	"TR02_75a"	"TR02_76"	"TR02_76a"	"TR02_77"	"TR02_77a"	"TR02_78"	"TR02_78a"	"TR02_79"	"TR02_79a"	"TR02_80"	"TR02_80a"	"TR02_81"	"TR02_81a"	"TR02_82"	"TR02_82a"	"TR02_83"	"TR02_83a"	"TR02_84"	"TR02_84a"	"TR02_85"	"TR02_85a"	"TR02_86"	"TR02_86a"	"TR02_87"	"TR02_87a"	"TR02_88"	"TR02_88a"	"TR02_89"	"TR02_89a"	"TR02_90"	"TR02_90a"	"TR02_91"	"TR02_91a"	"TR02_92"	"TR02_92a"	"TR02_93"	"TR02_93a"	"TR02_94"	"TR02_94a"	"TR02_95"	"TR02_95a"	"TR02_96"	"TR02_96a"	"UR01_CP"	"UR01"	"UR02_CP"	"UR02"	"UR03_01"	"IV01_01"	"IV01_02"	"IV01_03"	"IV02_01"	"IV02_02"	"IV02_03"	"IV02_04"	"IV03_01"	"IV03_02"	"IV03_03"	"IV03_04"	"IV03_05"	"IV03_06"	"IV03_07"	"IV03_08"	"IV03_09"	"IV03_10"	"IV03_11"	"IV03_12"	"IV03_13"	"IV03_14"	"IV03_15"	"IV03_16"	"IV03_17"	"IV03_18"	"IV03_19"	"IV03_20"	"IV03_21"	"IV03_22"	"IV03_23"	"IV03_24"	"IV03_25"	"IV03_26"	"IV03_27"	"IV03_28"	"IV03_29"	"IV03_30"	"IV03_31"	"IV03_32"	"IV03_33"	"IV03_34"	"IV03_35"	"IV03_36"	"IV03_37"	"IV03_38"	"IV03_39"	"IV03_40"	"IV03_41"	"IV03_42"	"IV03_43"	"IV03_44"	"IV03_45"	"IV03_46"	"IV03_47"	"IV03_48"	"IV03_49"	"IV03_50"	"IV03_51"	"IV03_52"	"IV03_53"	"IV03_54"	"IV03_55"	"IV03_56"	"IV03_57"	"IV03_58"	"IV03_59"	"IV03_60"	"IV03_61"	"IV03_62"	"IV03_63"	"IV03_64"	"IV03_65"	"IV03_66"	"IV03_67"	"IV03_68"	"IV03_69"	"IV03_70"	"IV03_71"	"IV03_72"	"IV03_73"	"IV03_74"	"IV03_75"	"IV03_76"	"IV03_77"	"IV03_78"	"IV03_79"	"IV03_80"	"IV03_81"	"IV03_82"	"IV03_83"	"IV03_84"	"IV03_85"	"IV03_86"	"IV03_87"	"IV03_88"	"IV03_89"	"IV03_90"	"IV03_91"	"IV03_92"	"IV03_93"	"IV03_94"	"IV03_95"	"IV03_96"	"IV04_RV1"	"IV04_REF"	"DV01_01"	"DV02_01"	"DV02_02"	"DV04_01"	"DV04_02"	"DV05_01"	"DV05_02"	"DV03_01"	"DV03_02"	"DM01"	"DM02"	"DM03"	"DM04_01"	"DM06"	"DM07"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
59			"base"	"debug"	2017-08-22 16:57:04	1	6931	1	7164	1	4776	1	2587	2	965692	1	2467																																																																																																																																																																																													14	1	14	2			"0111111111100011111111111101101001110111101011000111001111110111111111101110100101101111011111110111"	"1111111101110011111100110111101111111101111001101101111111110011101111111011110110110011101110001101"	"16"	"9"	"10"	"12"	"12"	"9"	"10"																																																																																															"https://www.soscisurvey.de/admin/index.php?o=Questionnaire"													"999"	2		5	4	2	2	5	6	19	4	134	970							344		2017-08-22 17:16:15	F	F	10	10	0	0	1.87	122
60			"base"	"debug"	2017-08-23 11:02:43	1	31624	-9																																																																																																																																																																																																						15	1	15	2		"23"	"0000111111111110111111111111111101110111001111100110111111111110101010111111111111110001010101100101"	"1110111111111000101011111111011010010111011111101111111110001111011110001111110111010111111001111111"	"13"	"10"																																																																																																				"https://www.soscisurvey.de/admin/index.php?o=Questionnaire"	74									2	2	-9	"999"	2	-9	44	109	3497	12	66		120		44			6	19	142	6		197		2017-08-23 12:10:28	T	F	15	15	54	54	0.74	14
61			"base"	"debug"	2017-08-23 15:23:40	1	17823	1	4301	1	2558	1	2020																																																																																																																																																																																																	15	2	15	1			"0000000100000010010000000001001000000101000110010100000001001000010001110000110000001010101000110000"	"1100110011000000110000010000000100000001000001000100100100101000010000100000000000010000000001100111"	"5"	"4"	"4"	"2"	"2"																																																																																																	"https://www.soscisurvey.de/admin/index.php?o=Questionnaire"													"999"	2		6	39	6	2	34	27	4	2	11								131		2017-08-23 15:25:51	F	F	9	9	0	0	1.74	62
62			"base"	"debug"	2017-08-23 15:27:42	1	2549	1	2140	1	3038	1	2777																																																																																																																																																																																																	16	2	16	1			"0000000000001000010010000000101000000101111001000000001111001010100010010001000000000001010000101000"	"1101110000100001100000000000000000010010100001100000000010011000110000110100011100000000000100000000"	"1"	"2"	"4"	"1"																																																																																																		"https://www.soscisurvey.de/admin/index.php?o=Questionnaire"													"999"	2		7	5	9	25	12	11	4	2	43								84		2017-08-23 15:29:40	F	F	9	9	0	0	1.72	56
63			"base"	"debug"	2017-08-23 15:29:56	1	2397	1	1827	1	1759	1	1797	1	2760	2	3174	1	2332	-9																																																																																																																																																																																										16	1	16	2		"64"	"0111011111011011111110111011110111100011111011010111011111101111111000001111110110011110111111101111"	"1110101100111101111111101101101001100111101111011111011111111011111110111110111110110100110011111011"	"2"	"8"	"10"	"9"	"11"	"10"	"5"	"8"																																																																																														"https://www.soscisurvey.de/admin/index.php?o=Questionnaire"	95	75	79					49	54	10	1	1	"999"	2	5	4	3	2	2	2	2	10	2	3	13		16	26	13	3		101		2017-08-23 15:31:37	T	F	15	15	5	5	2.43	195
64			"base"	"debug"	2017-08-23 15:38:09																																																																																																																																																																																																									17	1	17	2			"0101111111111111001011001110111101011111001001101110100101111111101111110011111111100111111011111111"	"1111011111110111001101111111101111111101011111111000111010101011101010101101110111011111110010111111"																																																																																																						"https://www.soscisurvey.de/admin/index.php?o=Questionnaire"														-9		69	173	29	38	36												118		2017-08-23 15:43:54	F	F	5	5	100	100	0.36	0
65			"base"	"debug"	2017-08-24 10:03:55																																																																																																																																																																																																																																																																																																																						"https://www.soscisurvey.de/admin/index.php?o=Questionnaire"										1	2	2			3	3													8	4		15		2017-08-24 10:04:10	T	F	15	15	20	19	3	168
66			"base"	"debug"	2017-08-24 14:29:20	1	4892	1	2370	1	3049	1	11342	1	2751	-9																																																																																																																																																																																														17	2	17	1		"33"	"0000001000000001000100011000000010000011001001000111000000110000010001000100000000010100001000011101"	"1000100000010000100000000000000000000100100101000010000011000000010000001010000010010010011011010111"	"4"	"3"	"5"	"4"	"3"	"5"																																																																																																"https://www.soscisurvey.de/admin/index.php?o=Questionnaire"	8	75	82					44	4	19	2	2	"999"	2	3	6	6	815	3	2	22	4	22	15	27		5	8	13	8		147		2017-08-24 14:45:17	T	F	15	15	6	6	1.99	107
67			"base"	"debug"	2017-09-18 10:42:08	-9																																																																																																																																																																																																								18	1	18	2			"0110011111011111101111011010011111010111011111101111001011100010101101111101101111111111111110111111"	"1110110110011011101100111111101110110100111010110111111101111111111101111111011100110101111110101111"	"3"																																																																																																			"9"		"https://www.soscisurvey.de/admin/index.php?o=Questionnaire"	89	49	84					81	48				"999"	2		7	110	31	9	122		4	27			2	21	12				129		2017-09-18 10:47:53	F	F	13	13	13	13	1.19	26
69			"base"	"debug"	2017-09-18 10:53:52	-9																																																																																																																																																																																																								18	2	18	1		"2"	"0000000111000000000000100000000101001010010011000000110001001000000010000000100000100000101101010011"	"1000100010101101100000000001000010100000000101100000000000001001100000000010100100000000110110000100"	"2"																																																																																																					"https://www.soscisurvey.de/admin/index.php?o=Questionnaire"	89									-9	-9	-9	"999"	2	-9	6	5	2	2	6	5						4	56	7	30	6	129		2017-09-18 10:56:01	T	F	16	16	79	79	2.17	123
70			"base"	"debug"	2017-09-18 11:12:59																																																																																																																																																																																																									19	2	19	1			"0000010001000000000010010000100011001000000010001000100010010000011010001001000100000110010000001110"	"1010000000001110100100000000001000000000011000010010101000010001000100000001001000001001010100110000"																																																																																																						"https://www.soscisurvey.de/admin/index.php?o=Questionnaire"														-9		6	55	3	3	28				57								104		2017-09-18 11:15:31	F	F	9	9	100	100	1.65	92
71			"base"	"debug"	2017-09-26 09:40:47																																																																																																																																																																																																									19	1	19	2			"0101110011111110101110111111111111101111110101101011011111111111111011011101111100011101111110001010"	"1111011111111111011100111111100111111011010111011001000000010111111111110111111011111111110101110111"																																																																																																				"8"		"https://www.soscisurvey.de/admin/index.php?o=Questionnaire"														-9		252	253											5938	5			80		2017-09-26 11:28:15	F	F	13	14	100	100	0.79	56
72			"base"	"debug"	2017-09-26 10:01:43																																																																																																																																																																																																									20	2	20	1			"0000111000010110100010000000000010100000100100000100000001000001000100010110011000001100010010000000"	"1010001000001101100000000010000001110010000000100000100101010000010001000010100000010000000100010001"																																																																																																						"https://www.soscisurvey.de/admin/index.php?o=Questionnaire"	99													-9		63	3										52	632				108		2017-09-26 10:14:13	F	F	13	13	86	85	0.88	96
95			"base"	"debug"	2017-09-26 17:01:50	1	2007	1	1775	1	1898	1	2187	2	3145	1	4427	1	1638	1	1738	1	1397	1	1454	1	1565	1	1646	1	1453	1	1639	1	1542	1	1306	1	1475	1	1551	1	1543	1	1531	-9		1	2074	1	2471	1	1789	1	57561	2	2316	1	1638	1	1527	1	1452	1	1434	1	88879	1	1649																																																																																																																																									21	2	21	1			"0000000000011000001100100000001001100000011000100000000101100010010000010000100000010100010110011000"	"1111100000000100001100000000101000000100000000000000001110000110010001001000000011100000010000100001"	"1"	"3"	"5"	"4"	"5"	"10"	"3"	"5"	"3"	"5"	"3"	"4"	"2"	"1"	"10"	"9"	"2"	"4"	"1"	"4"	"5"	"10"	"12"	"12"	"5"	"3"	"10"	"12"	"2"	"1"	"5"	"3"	"5"																																																																					"https://www.soscisurvey.de/admin/index.php?o=Questionnaire"													"999"	2		4	18	15	1	2	7	3	3	6	214							273		2017-09-26 17:06:23	F	F	10	10	3	3	2.12	113
96			"base"	"debug"	2017-09-26 17:06:31	1	2064	1	2478	1	2646	1	1549	2	2128	2	2048	2	1481	2	3918	2	1628	2	1618	2	1790	2	1682	2	1686	2	2025	2	2403	2	2651	2	2203	2	1708	2	3016	2	2151	2	3412	2	1871	2	2202	2	2385	2	1972	2	3712	2	2462	2	3176	2	2238	2	1725	2	2061	2	1882	2	1621	2	1734	2	2637	2	2607	2	3547	2	9174	2	11079	2	2095	2	1931	2	1388	2	1604	2	1382	2	1723	2	2010	2	7444	2	6432	2	4286	2	6746	2	7182	2	6030	2	11158	2	1888	2	1461	2	55868	2	3405	2	9858	2	1786	2	1746	2	1531	2	1588	2	1579	2	14171	2	1750	2	1419	2	1444	2	1402	2	1437	2	1705	1	1741	1	1429	1	1533	1	1561	1	3592	1	2493	1	4032	2	1469	2	1524	2	1462	2	1440	2	1629	2	2457	2	1599	2	581796	2	1679	2	1385	2	1362																									21	1	21	2			"0111111100101111110111111111101101101101110011011011011011111011110111011111111110111110001110011011"	"1111001111001010110110111100100011111011101100010111111110111101111111111111101011111110111111111101"	"1"	"12"	"8"	"11"	"10"	"8"	"2"	"4"	"11"	"8"	"11"	"12"	"4"	"5"	"10"	"2"	"10"	"3"	"8"	"11"	"3"	"8"	"8"	"5"	"11"	"11"	"9"	"9"	"4"	"1"	"12"	"3"	"1"	"5"	"11"	"10"	"11"	"10"	"9"	"3"	"8"	"11"	"9"	"1"	"8"	"8"	"2"	"1"	"2"	"9"	"3"	"11"	"9"	"12"	"9"	"12"	"8"	"9"	"8"	"4"	"10"	"8"	"11"	"10"	"1"	"9"	"11"	"10"	"11"	"12"	"12"	"9"	"8"	"12"	"12"	"10"	"10"	"9"	"8"	"9"	"8"	"11"	"10"	"9"	"10"	"8"	"2"	"8"	"5"													"https://www.soscisurvey.de/admin/index.php?o=Questionnaire"													"999"	2		4	2	2	3	1	3	8	1	2	935							314		2017-09-26 17:22:33	F	F	10	10	0	0	2.56	229
97			"base"	"debug"	2017-10-03 17:03:01																																																																																																																																																																																																																																																																																																																						"https://www.soscisurvey.de/admin/index.php?o=Questionnaire"										-9	-9	-9			-9	4														3	4	11		2017-10-03 17:03:12	T	F	16	16	100	100	2.25	126
98			"base"	"interview"	2017-10-03 17:11:38	1	2552	1	1919	1	1881	1	1759	2	7018	1	1814	2	1745	1	1638	2	1418	1	1955	2	1468	2	207473	1	1351	2	1575	1	1976	2	1463	2	2543	2	1788	2	2362	2	4385	2	3792	2	3056	2	2187	2	2775	2	2834	2	6885	2	1433	2	5378	2	1649	1	2443	1	1736	1	1705	1	1429	1	1525	1	1836	1	1711	1	1817	1	5547	1	42649	1	3829	1	98652	1	1576	1	1871	1	1508	1	1652	1	1542	1	1424	1	1426	1	1408	1	1460	1	1663	1	1785	1	2420	1	1407	1	1568	1	1735	1	1855	1	1927	1	16744	1	4747	1	1957	1	3065	1	5015	1	4437	1	1659	1	3852	1	2406	1	3027	1	2801	1	7701	1	1659	1	2714	1	1665	1	2851	1	1430	1	1541	1	1544	1	1555	1	1650	1	1709	1	1419	1	1395	1	1454	1	1612	1	1454	1	1627	1	4721	2	1645	2	1625	2	1424	2	1543	1	1442	2	1472	1	1611	2	1740	1	1458	1	2105	1	1525	1	1852	2	2023	22	1	22	2		"835"	"0000111111111111111110011101011110111001011101101110110101101101110011111111011101111111011011111111"	"1110111011111011110111111111111111011111010111011000111010010111101110011110110111011011111100110111"	"1"	"11"	"8"	"9"	"11"	"5"	"4"	"8"	"1"	"11"	"1"	"10"	"4"	"11"	"10"	"12"	"9"	"8"	"9"	"8"	"3"	"8"	"8"	"9"	"8"	"3"	"8"	"12"	"9"	"9"	"11"	"10"	"8"	"9"	"11"	"11"	"10"	"12"	"11"	"10"	"8"	"12"	"12"	"11"	"11"	"4"	"2"	"12"	"11"	"12"	"3"	"9"	"2"	"12"	"8"	"10"	"12"	"4"	"12"	"10"	"10"	"3"	"1"	"9"	"1"	"8"	"10"	"9"	"4"	"11"	"11"	"2"	"12"	"12"	"11"	"4"	"8"	"10"	"3"	"12"	"4"	"9"	"12"	"3"	"8"	"11"	"5"	"9"	"9"	"12"	"11"	"8"	"8"	"10"	"11"	"9"	"1"	"1"	"12"	"8"		"https://www.prolific.ac/demo/active?study=5992f9925f49420001caf855&k=g8SJTgymWObF"	77	4	84	74	33	64	29	15	81	10	1	1	"999"	2	5	7	4	2	3	2	3	8	2	7	640	2	5	8	29	16	5	391		2017-10-03 17:24:02	T	F	16	16	0	0	1.97	106
100			"base"	"interview"	2017-10-03 17:30:58	1	52688	1	7762	1	31723	1	3617	1	2875	1	5015	2	33538	1	3029	2	3848	1	10125	1	2803	1	2547	1	4280	1	27182	1	3227	1	7096	2	3923	1	2966	1	4011	2	2322	1	3244	1	2852	1	3912	1	2792	1	3269	1	12784	2	2666	1	2260	1	2351	2	3442	1	2432	1	2517	1	3913	2	2391	1	2225	1	3413	2	2912	1	2815	2	2589	1	2322	1	2103	1	2611	2	2353	1	2432	1	2305	2	2423	1	2058	1	15296	1	2707	1	2623	1	2312	1	3257	2	2779	1	2733	1	2660	1	2348	1	2412	1	2080	1	3679	2	2329	1	3101	1	2227	2	2471	1	2946	1	2287	1	2522	1	3260	1	2755	1	2892	1	3919	2	2666	1	3478	1	3296	1	3307	2	10363	2	10153	1	2735	1	3479	1	5263	2	3689	1	3736	1	3413	1	3387	1	4365	2	3761	1	5096	1	8821	2	5724	1	5532	2	2494	1	3384	1	2702	1	2824	1	2415	2	3118	1	5317	1	2693	2	2759	1	8226	1	24686	0	1	0	1		"848"	"1110111111101011011111011101111111110100110111111011011100111011110111111001100100111011111111100111"	"0111111111101111011111101111111111110011111111001010111111001111111101101011110100110010111011011010"	"2"	"11"	"9"	"8"	"11"	"4"	"12"	"11"	"8"	"8"	"12"	"11"	"8"	"10"	"11"	"4"	"8"	"8"	"1"	"10"	"8"	"9"	"4"	"8"	"11"	"12"	"12"	"11"	"10"	"2"	"9"	"12"	"11"	"11"	"10"	"4"	"11"	"11"	"8"	"11"	"10"	"9"	"11"	"9"	"11"	"9"	"1"	"8"	"9"	"2"	"11"	"4"	"2"	"11"	"9"	"8"	"4"	"9"	"8"	"9"	"11"	"10"	"11"	"11"	"9"	"1"	"12"	"11"	"3"	"12"	"11"	"9"	"8"	"2"	"4"	"5"	"10"	"11"	"10"	"8"	"8"	"4"	"9"	"11"	"10"	"9"	"8"	"3"	"8"	"8"	"11"	"11"	"12"	"9"	"10"	"10"	"12"	"3"	"1"	"12"		"https://www.prolific.ac/submissions/59d3ad2998e6cb00012fa00d"	95	96	96	96	95	94	96	99	93	20	1	2	"59d12cc4a5bbdd0001bf47c6"	1	5	43	8	47	18	29	70	33	16	7	569	5	12	19	11	31	12	572		2017-10-03 17:46:28	T	F	16	16	0	0	0.86	15
101			"base"	"interview"	2017-10-03 17:32:19			1	4183	1	4455	1	4841	1	3217	1	3385	2	1899	2	3124	2	1730	2	1784	2	1802	2	1639	2	1963	1	1711	2	1946	2	2231	2	1697	1	2450	1	1975	1	1655	2	1512	2	1674	2	2425	2	1590	2	1563	2	1530	1	3409	1	1578	1	1735	2	1566	1	1719	2	1631	1	1779	2	1529	1	1731	2	2324	1	3569	2	1835	1	1689	2	3003	1	2485	1	1484	1	1710	1	1631	2	1723	1	1576	1	1454	1	1585	1	1525	2	4567	1	1606	2	1598	1	1764	1	1617	1	1697	2	2286	1	6236	1	1839							1	2582	2	2193	1	1676	2	1792	1	1693	2	1846	2	1590	2	3205	2	1514	2	1589	2	1632	1	1570	1	1506	1	1611	1	2035	1	1602	2	1793	2	1514	2	1517	2	1570	2	1508	2	1510	2	1651	2	1850	2	1851	2	1616	2	1676	2	1934	2	1736	2	1730	2	1737	2	2096	2	1752	2	1513	1	2679	2	2560	2	2086	2	1631	2	2012	1	1	1	1		"853"	"1111101111111101011110011111010111101111111011100111111100100101111000111111100111010111101101111111"	"0111111111110111011101011110110110111110111111101110111110001010101101111111011001111111101110101101"	"3"	"9"	"8"	"12"	"2"	"10"	"9"	"11"	"12"	"11"	"11"	"12"	"12"	"10"	"2"	"11"	"12"	"8"	"9"	"11"	"8"	"9"	"5"	"9"	"8"	"10"	"4"	"12"	"10"	"10"	"12"	"10"	"12"	"9"	"10"	"1"	"1"	"10"	"11"	"5"	"5"	"12"	"8"	"8"	"8"	"9"	"5"	"1"	"8"	"10"	"8"	"12"	"10"	"9"	"11"	"3"	"8"	"11"	"2"	"2"	"12"	"10"	"10"	"5"	"10"	"9"	"11"	"12"	"2"	"8"	"11"	"12"	"9"	"8"	"3"	"10"	"12"	"12"	"11"	"2"	"8"	"11"	"10"	"9"	"9"	"9"	"8"	"5"	"12"	"11"	"12"	"1"	"10"	"11"	"8"	"8"	"10"	"11"	"2"	"4"		"https://www.prolific.ac/submissions/59d3ad750a72d300015da791"	74	29	68	40	40	20	20	52	52	10	2	2	"59d3a73000d494000181742d "	2	2	40	42	15	7	12	70	5	6	13	305	2	7	22	29	12	4	535		2017-10-03 17:42:10	T	F	16	16	0	0	1.06	12
102			"base"	"interview"	2017-10-03 17:32:23	1	3427	1	6292	1	4281	1	4359	1	2398	2	3275	1	2151	1	3172	1	2255	2	2087	2	1790	2	4049	1	1867	2	3201	2	3215	1	1865	2	3051	2	2346	1	3292	2	1924	1	1535	1	1564	1	1478	1	1868	2	1697	1	1567	2	1508	1	1961	2	7219	2	1773	2	1522	2	1434	2	3135	2	6672	1	1589	2	3461	2	1934	1	3586	1	1709	1	2002	2	1450	1	1856	2	1613	2	1673	1	1667	2	1360	2	1448	1	1497	1	1429	1	1519	2	1413	1	6183	2	1779	1	1773	2	2652	2	1736	2	1668	2	1816	2	1415	2	3496	2	1451	1	1586	2	1501	1	1743	1	1560	2	3129	2	2143	2	6222	2	1368	2	3234	2	1976	2	1667	1	1469	2	1537	2	1438	2	1446	2	1522	2	1249	2	1615	2	1936	2	1693	2	1547	2	1639	2	1454	2	1475	2	1519	2	1914	2	6028	1	1665	2	2133	2	3468	1	1667	2	1852	2	1597	2	13061	2	1688	2	3528	2	1856	2	1532	2	1751	0	2	0	2		"419"	"1000000000000000100000010100000000000110110000100000110010000110011000000100010010000110001000110100"	"0000010000100001010000001000001000000101101000000001000010000111000010001001000000110000111011000000"	"1"	"5"	"3"	"5"	"2"	"4"	"3"	"1"	"1"	"1"	"4"	"10"	"5"	"2"	"1"	"2"	"1"	"4"	"11"	"5"	"3"	"1"	"5"	"4"	"1"	"2"	"5"	"1"	"2"	"1"	"11"	"5"	"8"	"5"	"3"	"2"	"5"	"3"	"4"	"10"	"1"	"4"	"1"	"1"	"11"	"2"	"5"	"1"	"4"	"5"	"2"	"4"	"11"	"1"	"2"	"5"	"11"	"3"	"5"	"3"	"2"	"3"	"10"	"4"	"4"	"4"	"9"	"1"	"8"	"10"	"4"	"11"	"1"	"2"	"1"	"4"	"2"	"4"	"1"	"1"	"3"	"12"	"1"	"3"	"1"	"3"	"10"	"1"	"1"	"2"	"3"	"1"	"3"	"10"	"11"	"11"	"1"	"1"	"2"	"9"		"https://www.prolific.ac/submissions/59d3ad79e241c700013aa27d"	86	50	52	1	1	1	1	50	52	7	2	1	"59d3a395a001f20001263210@email.prolific.ac"	2	3	17	26	19	6	10	5	16	4	10	282	2	8	51	35	14	2	507		2017-10-03 17:40:52	T	F	16	16	0	0	1.2	13
103			"base"	"interview"	2017-10-03 17:34:34	1	7028	1	10421	1	3362	1	3708	1	2447	1	3164	2	2433	1	2135	1	2240	1	2069	2	2472	2	2051	1	1771	2	2159	1	1938	1	1496	2	1834	1	2135	1	1569	2	1678	2	1586	2	1837	1	2473	2	1739	2	2078	1	2324	2	1555	2	2010	1	1852	1	1683	1	1605	2	1957	1	1650	1	1522	1	1805	2	1985	1	1851	1	2283	2	1529	2	1805	2	1486	1	1745	2	1702	1	1883	2	1642	2	1494	1	2241	1	1513	1	1794	1	1494	2	1824	2	2012	1	2127	2	1846	1	1631	1	1491	2	1578	1	1711	2	1743	2	1518	1	1736	1	1908	2	1863	1	2006	2	1715	2	1568	2	2028	2	1681	2	1530	1	1621	1	1651	1	1685	2	1776	1	2313	2	1812	1	1581	1	1519	1	1434	1	1562	2	1549	2	2452	2	1586	1	1744	1	1584	1	2380	2	1579	1	1519	2	1899	1	2064	2	1726	1	1700	1	1623	2	1877	2	2254	1	1793	2	2131	1	2227	2	2027	1	2085	2	2531	1	2	1	2		"500"	"1100001000000001001100100000000110100000000101000100000010100110000110101000010000000100001000100000"	"0000100000111100000010000100010000000000010001010100110100001000000100001101000000010000010010011000"	"5"	"3"	"4"	"3"	"4"	"11"	"3"	"1"	"5"	"2"	"1"	"11"	"3"	"12"	"2"	"4"	"3"	"1"	"4"	"2"	"4"	"4"	"10"	"5"	"12"	"9"	"4"	"10"	"4"	"1"	"4"	"11"	"2"	"4"	"5"	"11"	"5"	"8"	"5"	"2"	"3"	"1"	"3"	"12"	"9"	"5"	"5"	"1"	"4"	"3"	"3"	"5"	"3"	"4"	"10"	"1"	"5"	"1"	"5"	"5"	"2"	"11"	"9"	"8"	"3"	"3"	"4"	"4"	"5"	"3"	"12"	"1"	"3"	"1"	"3"	"1"	"3"	"1"	"4"	"3"	"1"	"2"	"2"	"5"	"12"	"2"	"3"	"11"	"12"	"5"	"1"	"3"	"5"	"5"	"3"	"8"	"12"	"2"	"3"	"11"		"https://www.prolific.ac/submissions/59d3ae05ad1bc90001cac81f"	21	78	16	82	24	41	20	93	17	10	2	2	"59d3928bb536710001711238@email.prolific.ac"	1	4	8	5	53	21	29	5	23	5	19	251	3	15	58	51	43	3	565		2017-10-03 17:44:26	T	F	16	16	0	0	1.02	23
